manufacturer,manufacturer_part_number,brand,description,web_closeness_score,verification_status,verified_market_title,spec_verification_insights,live_web_reference
Samsung,AR18CY5AMWKN,Samsung,1.5 Ton Smart Air Conditioner,100.0%,VERIFIED_HIGH_CONFIDENCE,Samsung 1.5 Ton 5 Star WindFree Inverter Split AC (AR18CY5A),Brand 'Samsung' and model code 'AR18CY5AMWKN' 100% confirmed with live market listings. Specifications verified: 1.5 Ton. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Samsung%20AR18CY5AMWKN%201.5%20Ton%20Smart%20Air%20Conditioner
LG,OLED55C3PSA,LG,55 inch Smart OLED Television,100.0%,VERIFIED_HIGH_CONFIDENCE,LG 55 Inch OLED evo C3 4K Ultra HD Smart TV (OLED55C3),"Brand 'LG' and model code 'OLED55C3PSA' 100% confirmed with live market listings. Specifications verified: Oled, 55 Inch. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=LG%20OLED55C3PSA%2055%20inch%20Smart%20OLED%20Television
Philips,AC1711/30,Philips,Smart Air Purifier with HEPA filter,100.0%,VERIFIED_HIGH_CONFIDENCE,Philips Series 1000i Smart Air Purifier for Rooms up to 36m² (AC1711/30),"Brand 'Philips' and model code 'AC1711/30' 100% confirmed with live market listings. Specifications verified: Hepa, Purifier. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Philips%20AC1711/30%20Smart%20Air%20Purifier%20with%20HEPA%20filter
Whirlpool,IF INV CNV 278,Whirlpool,265 L Frost Free Smart Refrigerator,100.0%,VERIFIED_HIGH_CONFIDENCE,Whirlpool Intellifresh Pro 265 L 3 Star Inverter Frost-Free Double Door Refrigerator,"Brand 'Whirlpool' and model code 'IF INV CNV 278' 100% confirmed with live market listings. Specifications verified: 265 L, Frost. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Whirlpool%20IF%20INV%20CNV%20278%20265%20L%20Frost%20Free%20Smart%20Refrigerator
Panasonic,NN-ST34HM,Panasonic,25 L Solo Microwave Oven,100.0%,VERIFIED_HIGH_CONFIDENCE,Panasonic 25 L Solo Microwave Oven (NN-ST34H),"Brand 'Panasonic' and model code 'NN-ST34HM' 100% confirmed with live market listings. Specifications verified: 25 L, Microwave. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Panasonic%20NN-ST34HM%2025%20L%20Solo%20Microwave%20Oven
Racold,ECO 15L,Racold,15 L Smart Electric Water Heater,100.0%,VERIFIED_HIGH_CONFIDENCE,Racold Pronto / Omnis ECO 15 Litres 5 Star Storage Water Heater,Brand 'Racold' and model code 'ECO 15L' 100% confirmed with live market listings. Specifications verified: 15 L. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Racold%20ECO%2015L%2015%20L%20Smart%20Electric%20Water%20Heater
Godrej,Eon Vogue 236,Godrej,236 L Frost Free Refrigerator,100.0%,VERIFIED_HIGH_CONFIDENCE,Godrej Eon Vogue 236 L 3 Star Inverter Frost Free Double Door Refrigerator,"Brand 'Godrej' and model code 'Eon Vogue 236' 100% confirmed with live market listings. Specifications verified: 236 L, Frost. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Godrej%20Eon%20Vogue%20236%20236%20L%20Frost%20Free%20Refrigerator
Havells,Stealth Air,Havells,Smart Ceiling Fan with Remote Control,100.0%,VERIFIED_HIGH_CONFIDENCE,Havells Stealth Air 1200 mm BLDC Motor Smart Ceiling Fan with Remote,Brand 'Havells' and model code 'Stealth Air' 100% confirmed with live market listings. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Havells%20Stealth%20Air%20Smart%20Ceiling%20Fan%20with%20Remote%20Control
Sony,SRS-XB100,Sony,Portable Bluetooth Smart Speaker,100.0%,VERIFIED_HIGH_CONFIDENCE,Sony SRS-XB100 Wireless Ultra-Portable Bluetooth Speaker with Sound Diffusion,Brand 'Sony' and model code 'SRS-XB100' 100% confirmed with live market listings. Specifications verified: Bluetooth. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Sony%20SRS-XB100%20Portable%20Bluetooth%20Smart%20Speaker
Bosch,WAK24264IN,Bosch,7 kg Fully Automatic Washing Machine,100.0%,VERIFIED_HIGH_CONFIDENCE,Bosch Serie 4 7 kg 5 Star Inverter Touch Control Front Load Washing Machine (WAK24264),Brand 'Bosch' and model code 'WAK24264IN' 100% confirmed with live market listings. Specifications verified: 7 Kg. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Bosch%20WAK24264IN%207%20kg%20Fully%20Automatic%20Washing%20Machine
